,AMD,ZI,PFE,NU,F,GOOGL,Z,MRNA,AAPL,NKE,T,CX,SPY,TQQQ,QQQ,BND,IWF,XLK,IEF,BIV,IOO,VIOO,BTC-USD,ETH-USD,ZB=F,HG=F,ZC=F,ZM=F,GC=F,SB=F
rsi,-2.1398067474365234e-05,-1.239776611328125e-05,2.0265579223632812e-06,-2.205371856689453e-06,-1.2516975402832031e-06,0.0,-1.633167266845703e-05,-0.00018131732940673828,-3.427267074584961e-05,-2.3245811462402344e-06,8.344650268554688e-07,1.5497207641601562e-05,-1.0728836059570312e-05,7.62939453125e-06,1.1920928955078125e-07,2.765655517578125e-05,0.0,1.800060272216797e-05,0.00031816959381103516,-6.705522537231445e-05,0.012823224067687988,-0.08652597665786743,0.0,3.5762786865234375e-07,-0.0030387043952941895,-0.0007634758949279785,1.1920928955078125e-07,-1.7881393432617188e-07,-5.960464477539063e-08,0.04449462890625
adx,0.5485991644356691,0.12245252379737775,0.08816593858638028,0.040157106245340746,0.10450248850780643,0.1541271209716794,0.36182141607728535,0.6283529607734923,0.09282540257051454,0.1532506314769026,0.006123657949708224,0.05832536866488024,0.49259729165901095,-0.027492402250031522,0.4517688445356243,0.4638051716841923,0.2910177704369557,0.4101294278621509,0.07506723125925917,0.03372079268734116,3.259467888765583,0.02760449221113797,80.90625,4.7942639369304105,0.25180908612937464,0.025336435154968338,1.404510498046875,0.897705078125,0.8968505859375,0.27722368194581
sortino,0.00579124332847428,0.0043634240928350386,0.0019216584878620202,0.0017469741264674009,0.0017518409801308738,,0.16293731837794861,0.005369020667013442,0.0011525306741060727,-5.860183426102891e-05,0.0035598763111797083,-0.000161890410795591,0.0010519003273833818,0.0029616546306087898,0.23597084401160298,0.001052314871467655,0.0,0.0007715998824954169,0.0012841755494098414,0.0005109953008532052,0.2349663793392063,0.031254396805430344,0.03117692843079567,1.7522825874214444e-05,0.07256091648044843,0.003773059778506611,,-0.0002386634781335791,0.03078758902847767,0.0072380401390606626
